New_Route_ID,Route_Name,Action_Taken,Route_Type,Priority_Band,Headway_Min,Fleet_Required,HPV_Count,MPV_Count,LPV_Count,CMP_Trunk,CMP_Route_ID,Population_Served,Social_Flag
FDR-482,Srinagar to Khag,RETAINED_AS_FEEDER,Regional_District,LP,35,5,2,3,0,False,,10270,False
FDR-458,Srinagar to Karhama,RETAINED_AS_FEEDER,Regional_District,LP,35,4,2,2,0,False,,10104,False
FDR-504,Srinagar to Chewdara,RETAINED_AS_FEEDER,Regional_District,LP,35,4,2,2,0,False,,7511,False
FDR-459,Srinagar to Badrun,RETAINED_AS_FEEDER,Regional_District,LP,35,4,2,2,0,False,,9922,False
FDR-434,Srinagar to Tangmarg,RETAINED_AS_FEEDER,Regional_District,LP,35,5,2,3,0,False,,14640,False
FDR-503,Srinagar to Hajin,RETAINED_AS_FEEDER,Regional_District,LP,35,5,2,3,0,False,,9449,False
FDR-481,Srinagar to Safapora Sumbal,RETAINED_AS_FEEDER,Regional_District,LP,35,4,2,2,0,False,,8734,False
FDR-499,Srinagar to Safapora GBL,RETAINED_AS_FEEDER,Regional_District,LP,35,4,2,2,0,False,,9154,False
FDR-508,Srinagar to Narwara Budgam,RETAINED_AS_FEEDER,Regional_District,LP,35,4,2,2,0,False,,7386,False
FDR-460,Srinagar to Charishreef,RETAINED_AS_FEEDER,Regional_District,LP,35,4,2,2,0,False,,10029,False
FDR-514,Srinagar to Pakherpora,RETAINED_AS_FEEDER,Regional_District,LP,35,5,2,3,0,False,,10612,False
FDR-546,Srinagar to Pasthoon,RETAINED_AS_FEEDER,Regional_District,LP,35,6,2,4,0,False,,11690,False
FDR-534,Srinagar to Pinglish,RETAINED_AS_FEEDER,Regional_District,LP,35,5,2,3,0,False,,11283,False
FDR-539,Srinagar to Tral Nowdal,RETAINED_AS_FEEDER,Regional_District,LP,35,5,2,3,0,False,,9957,False
FDR-004,Srinagar to Qazigund,RETAINED_AS_FEEDER,Regional_District,LP,35,9,3,6,0,False,,13697,False
FDR-520,Srinagar to Mirpora Budgam,RETAINED_AS_FEEDER,Regional_District,LP,35,4,2,2,0,False,,7656,False
FDR-502,Srinagar to Vijipopra,RETAINED_AS_FEEDER,Regional_District,LP,35,4,2,2,0,False,,9327,False
FDR-531,Bandipora to Srinagar,RETAINED_AS_FEEDER,Regional_District,LP,35,7,3,4,0,False,,11662,False
FDR-003,Bandipora to Soura,RETAINED_AS_FEEDER,Regional_District,LP,35,6,2,4,0,False,,32482,False
FDR-537,Bankoot to Srinagar via Bandipora,RETAINED_AS_FEEDER,Regional_District,LP,35,7,3,4,0,False,,11700,False
FDR-506,Sopore to Srinagar,RETAINED_AS_FEEDER,Regional_District,LP,35,6,2,4,0,False,,13292,False
FDR-521,Botingue to Srinagar,RETAINED_AS_FEEDER,Regional_District,LP,35,7,3,4,0,False,,15133,False
FDR-510,Shopian to Srinagar,RETAINED_AS_FEEDER,Regional_District,MP,35,6,2,4,0,False,,12687,True
FDR-529,Sedow to Srinagar,RETAINED_AS_FEEDER,Regional_District,MP,35,6,2,4,0,False,,13208,True
FDR-513,Harman to Srinagar,RETAINED_AS_FEEDER,Regional_District,MP,35,6,2,4,0,False,,12587,True
FDR-526,Kaprin to Srinagar,RETAINED_AS_FEEDER,Regional_District,MP,35,7,3,4,0,False,,13712,True
FDR-530,Nehama to Srinagar,RETAINED_AS_FEEDER,Regional_District,MP,35,7,3,4,0,False,,14067,True
FDR-005,Khull Ahmadabad to Srinagar,RETAINED_AS_FEEDER,Regional_District,LP,35,7,3,4,0,False,,13411,False
FDR-528,Pariwan to Srinagar,RETAINED_AS_FEEDER,Regional_District,MP,35,7,3,4,0,False,,13938,True
FDR-007,Kulgam to Srinagar,RETAINED_AS_FEEDER,Regional_District,LP,35,7,3,4,0,False,,13484,False
FDR-008,Katrosoo to Srinagar,RETAINED_AS_FEEDER,Regional_District,LP,35,7,3,4,0,False,,12947,False
